t=2026-04-23T14:47:41+0530 lvl=info msg="no configuration paths supplied"
t=2026-04-23T14:47:41+0530 lvl=info msg="using configuration at default config path" path="/Users/samarthsrivastava/Library/Application Support/ngrok/ngrok.yml"
t=2026-04-23T14:47:41+0530 lvl=info msg="open config file" path="/Users/samarthsrivastava/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-04-23T14:47:41+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-23T14:47:42+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-23T14:47:42+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-23T14:47:42+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-23T14:47:42+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://abrasion-gusto-shelving.ngrok-free.dev
t=2026-04-23T14:47:46+0530 lvl=info msg=start pg=/api/tunnels id=e3343a33352bfacc
t=2026-04-23T14:47:46+0530 lvl=info msg=end pg=/api/tunnels id=e3343a33352bfacc status=200 dur=145.375µs
t=2026-04-23T14:47:48+0530 lvl=info msg="join connections" obj=join id=8fce666e8736 l=127.0.0.1:8000 r=51.158.79.182:52126
t=2026-04-23T14:47:57+0530 lvl=info msg="join connections" obj=join id=a020558e769a l=127.0.0.1:8000 r=51.158.109.197:34230
t=2026-04-23T14:47:57+0530 lvl=info msg=start pg=/api/tunnels id=205ec4439faa8377
t=2026-04-23T14:47:57+0530 lvl=info msg=end pg=/api/tunnels id=205ec4439faa8377 status=200 dur=97.125µs
t=2026-04-23T14:47:58+0530 lvl=info msg="join connections" obj=join id=fb14b49c93e3 l=127.0.0.1:8000 r=51.158.109.197:56576
t=2026-04-23T14:47:59+0530 lvl=info msg="join connections" obj=join id=7f59f498ceef l=127.0.0.1:8000 r=51.158.109.197:37504
t=2026-04-23T14:48:00+0530 lvl=info msg="join connections" obj=join id=a46599c17e7e l=127.0.0.1:8000 r=51.158.109.197:37510
t=2026-04-23T14:48:02+0530 lvl=info msg="join connections" obj=join id=a5478992782a l=127.0.0.1:8000 r=51.158.109.197:57554
t=2026-04-23T14:48:02+0530 lvl=info msg="join connections" obj=join id=228f0fe61a9c l=127.0.0.1:8000 r=51.158.79.182:47632
t=2026-04-23T14:48:03+0530 lvl=info msg="join connections" obj=join id=215af59fd850 l=127.0.0.1:8000 r=51.158.109.197:57656
t=2026-04-23T14:48:04+0530 lvl=info msg="join connections" obj=join id=c6d508a80b3c l=127.0.0.1:8000 r=51.158.109.197:37526
t=2026-04-23T14:48:06+0530 lvl=info msg="join connections" obj=join id=fedbd00b8fd7 l=127.0.0.1:8000 r=51.158.109.197:34244
t=2026-04-23T14:48:06+0530 lvl=info msg="join connections" obj=join id=4a5b0125d588 l=127.0.0.1:8000 r=163.172.157.79:47316
t=2026-04-23T14:48:07+0530 lvl=info msg="join connections" obj=join id=da7dd0c42299 l=127.0.0.1:8000 r=163.172.157.79:45114
t=2026-04-23T14:48:07+0530 lvl=info msg="join connections" obj=join id=ace76e0c8cef l=127.0.0.1:8000 r=51.158.71.67:50564
t=2026-04-23T14:48:07+0530 lvl=info msg="join connections" obj=join id=0fbcf81e7adc l=127.0.0.1:8000 r=51.158.109.197:39732
t=2026-04-23T14:48:09+0530 lvl=info msg="join connections" obj=join id=54d620fc6fe8 l=127.0.0.1:8000 r=51.158.109.197:49360
t=2026-04-23T14:48:10+0530 lvl=info msg="join connections" obj=join id=b912c5c62f9c l=127.0.0.1:8000 r=51.158.109.197:47626
t=2026-04-23T14:48:12+0530 lvl=info msg="join connections" obj=join id=3bcb26f7d737 l=127.0.0.1:8000 r=51.158.109.197:47634
t=2026-04-23T14:48:13+0530 lvl=info msg="join connections" obj=join id=7fee130e2750 l=127.0.0.1:8000 r=51.158.109.197:43722
t=2026-04-23T14:48:15+0530 lvl=info msg="join connections" obj=join id=c9c58ac1aeb7 l=127.0.0.1:8000 r=51.158.109.197:38284
t=2026-04-23T14:48:16+0530 lvl=info msg="join connections" obj=join id=ee98de65fb46 l=127.0.0.1:8000 r=51.158.109.197:49366
t=2026-04-23T14:48:17+0530 lvl=info msg="join connections" obj=join id=87e226b88180 l=127.0.0.1:8000 r=51.158.109.197:43828
t=2026-04-23T14:48:19+0530 lvl=info msg="join connections" obj=join id=ef37d2c82fe5 l=127.0.0.1:8000 r=51.158.109.197:56352
